TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;IS_PRIMARY_KEY_NUM;TIPO;MANTENER;INDICE_REFERENCIA;BENEFICIO
TablaSindicato;aaaTablaSindicato_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Sindicato;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaTablaSindicato_PK;
TablaSindicato;Id_Funcionario;NONCLUSTERED;False;False;2.0;0.0;0.0;0.0;2026-06-04 09:06:42.197;;0.015625;0.015625;Id_Sindicato;2.0;Beneficio Busqueda;0;INDEX;Duplica aaaTablaSindicato_PK;aaaTablaSindicato_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
TipoInstitucionesAVP;aaTipoInstitucionesAVP_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Tipo_Institucion;0.0;NO USO;1;PK Y UNIQUE;Unico;aaTipoInstitucionesAVP_PK;
TipoInstitucionesAVP;Tipo_Institucion;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Tipo_Institucion;0.0;NO USO;0;INDEX;Duplica aaTipoInstitucionesAVP_PK;aaTipoInstitucionesAVP_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Tipo_Horas;aaaaaTipo_Horas_PK;NONCLUSTERED;True;True;1.0;0.0;0.0;0.0;2026-06-04 09:07:06.377;;0.015625;0.015625;Tipo_Horas;1.0;Beneficio Busqueda;1;PK Y UNIQUE;Unico;aaaaaTipo_Horas_PK;
Tipo_Horas;Tipo_Horas;NONCLUSTERED;False;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Tipo_Horas;0.0;NO USO;0;UNIQUE;Duplica aaaaaTipo_Horas_PK;aaaaaTipo_Horas_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Tipo_Horas_AEduca;aaTipo_Horas_AEduca_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Tipo_Horas;0.0;NO USO;1;PK Y UNIQUE;Unico;aaTipo_Horas_AEduca_PK;
Tipo_Horas_AEduca;Tipo_Horas;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Tipo_Horas;0.0;NO USO;0;INDEX;Duplica aaTipo_Horas_AEduca_PK;aaTipo_Horas_AEduca_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
TramoDesarrolloProfesional;aaaTramoDesarrolloProfesional_PK;CLUSTERED;True;True;12.0;0.0;0.0;6.0;2026-06-04 09:07:07.133;;0.015625;0.015625;Codigo_TDP;12.0;Beneficio Busqueda;1;PK Y UNIQUE;Unico;aaaTramoDesarrolloProfesional_PK;
TramoDesarrolloProfesional;Codigo_TDP;NONCLUSTERED;False;False;0.0;1.0;0.0;0.0;;2026-06-04 09:07:07.060;0.015625;0.015625;Codigo_TDP;0.0;NO USO;0;INDEX;Duplica aaaTramoDesarrolloProfesional_PK;aaaTramoDesarrolloProfesional_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
