Tabla;Indice;TypeDesc;EsPK;EsUnique;user_seeks;user_scans;user_lookups;user_updates;last_user_seek;last_user_scan;TamanoTotal_MB;UsedPages_MB;DataPages_MB
CuentaBanco;Id_Funcionario;NONCLUSTERED;False;True;;;;;;;0.015625;0.015625;0.007812
Decreto_Pago;;HEAP;False;False;;;;;;;0.679687;0.460937;0.40625
Decreto_Pago;aaDecreto_Pago_PK;NONCLUSTERED;True;True;;;;;;;0.054687;0.054687;0.054687
Decreto_Pago;Ano_Proceso;NONCLUSTERED;False;False;;;;;;;0.109375;0.0625;0.0625
Decreto_Pago;ID_Haber;NONCLUSTERED;False;False;;;;;;;0.164062;0.054687;0.054687
Decreto_Pago_Proyectos;;HEAP;False;False;;;;;;;0.0;0.0;0.0
Decreto_Pago_Proyectos;aaDecreto_Pago_Proyectos_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
Decreto_Pago_Proyectos;Ano_Proceso;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
Decreto_Pago_Proyectos;Id_Haber;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
Decreto_Pago_Proyectos;Id_Proyecto;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
Decreto_Pago_Suple;;HEAP;False;False;;;;;;;0.367187;0.242187;0.1875
Decreto_Pago_Suple;aaDecreto_Pago_Suple_PK;NONCLUSTERED;True;True;;;;;;;0.164062;0.054687;0.054687
Decreto_Pago_Suple;Ano_Proceso;NONCLUSTERED;False;False;;;;;;;0.109375;0.054687;0.054687
Decreto_Pago_Suple;Id_Haber;NONCLUSTERED;False;False;;;;;;;0.109375;0.054687;0.054687
DescuentoBienestar;;HEAP;False;False;;;;;;;0.0;0.0;0.0
DescuentoBienestar;aaaDescuentoBienestar_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
DescuentoBienestar;Id_Bienestar;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentoBienestar;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
Descuentos;;HEAP;False;False;;;;;;;0.109375;0.054687;0.046875
Descuentos;aaaaaDescuentos_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
Descuentos;DctoModo;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
Descuentos;Id_Descuento;NONCLUSTERED;False;True;;;;;;;0.015625;0.015625;0.007812
DescuentosNoEfectuados;;HEAP;False;False;;;;;;;0.0;0.0;0.0
DescuentosNoEfectuados;aaaaaDescuentosNoEfectuados_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
DescuentosNoEfectuados;Id_Descuento;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosNoEfectuados;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfec_Old;;HEAP;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfec_Old;Ano;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfec_Old;Ano_Pago;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfec_Old;Id_Descuento;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfec_Old;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfec_Old;Mes;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfec_Old;Mes_Pago;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfec_Old;OldaaDescuentosPlanNoEfec_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfectuados;;HEAP;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfectuados;aaaaaDescuentosPlanNoEfec_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfectuados;Ano;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfectuados;Ano_Pago;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfectuados;Id_Descuento;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfectuados;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfectuados;Id_ProcesoPs;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfectuados;Mes;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DescuentosPlanillaNoEfectuados;Mes_Pago;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
Destinaciones;;HEAP;False;False;;;;;;;0.0;0.0;0.0
Destinaciones;aaaDestinaciones_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
Destinaciones;Id_Correlativo;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
Destinaciones;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DETALLE;;HEAP;False;False;;;;;;;13.070312;12.75;12.742187
Detalle_PlantasMunicipalesVigentes;;HEAP;False;False;;;;;;;0.0;0.0;0.0
Detalle_PlantasMunicipalesVigentes;aaaDetalle_PlantasMunicipalesVigentes_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
DETALLE2;;HEAP;False;False;;;;;;;10.695312;10.335937;10.328125
DetalleCCAF;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
DetalleCCAF;aaDetalleCCAF_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
DetallePlandeCuenta;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
DetallePlandeCuenta;aaaaaDetallePlandeCuenta_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
DetallePlandeCuenta;Ano_Proceso;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
DetallePlandeCuenta;Id_Cuenta;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
DetallePlandeCuenta;Id_Hd;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
DetallePlandeCuenta;Id_TipoCuenta;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
DetallePlandeCuentaSuple;;HEAP;False;False;;;;;;;0.0;0.0;0.0
DetallePlandeCuentaSuple;aaDetallePlandeCuentaSuple_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
DetalleRentas;;HEAP;False;False;;;;;;;0.0;0.0;0.0
DetalleRentas;Detalle_Año;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DetalleRentas;Detalle_Certificado;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DetalleRentas;Detalle_Id;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DetalleRentas;Detalle_Mes;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
DetalleRentas;PK_DetalleRentas;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
DetalleSubRogancias;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
DetalleSubRogancias;PK_DetalleSubRogancias;CLUSTERED;True;True;;;;;;;0.023437;0.023437;0.007812
Dias_Feriados;;HEAP;False;False;;;;;;;0.171875;0.070312;0.0625
Dias_Feriados;aaaDias_Feriados_PK;NONCLUSTERED;True;True;;;;;;;0.109375;0.078125;0.0625
DIPRES;;HEAP;False;False;;;;;;;0.070312;0.039062;0.03125
Distribucion;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
Distribucion;aaaDISTRIBUCION_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
EncabezadoHorarios;;HEAP;False;False;;;;;;;0.0;0.0;0.0
EncabezadoHorarios;aaaaaEncabezadoHorarios_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
Estado_LME;;HEAP;False;False;;;;;;;0.078125;0.023437;0.015625
Estado_LME;aaaEstado_LME_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
EstadoCivil;aaaEstadoCivil_PK;CLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
EstadoEstudio;aaaEstadoEstudio_PK;CLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
EstadoPrevisional;aaaEstadoPrevisional_PK;CLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
Factor_Calificacion;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
Factor_Calificacion;aaaNota_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
Factor_HorasExtras;;HEAP;False;False;;;;;;;0.0;0.0;0.0
FactorActual;;HEAP;False;False;;;;;;;0.0;0.0;0.0
FactorActual;PK_FactorActual;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
Feriados;;HEAP;False;False;;;;;;;1.570312;1.148437;1.140625
Feriados;aaaaaFeriados_PK;NONCLUSTERED;True;True;;;;;;;0.382812;0.273437;0.257812
Feriados;Id_Correlativo;NONCLUSTERED;False;True;;;;;;;0.257812;0.171875;0.15625
Feriados;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.320312;0.21875;0.203125
Feriados;Id_Periodo;NONCLUSTERED;False;False;;;;;;;0.382812;0.273437;0.257812
FichaAfiliadoVoluntario;aaFichaAfiliadoVoluntario_PK;CLUSTERED;True;True;;;;;;;0.0;0.0;0.0
FichaAfiliadoVoluntario;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
FichaAfiliadoVoluntario;Rut_Afiliado;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
FichaFuncionario;;HEAP;False;False;;;;;;;0.429687;0.265625;0.210937
FichaFuncionario;aaaaaFichaFuncionario_PK;NONCLUSTERED;True;True;;;;;;;0.078125;0.03125;0.015625
FichaFuncionario;Apellidos;NONCLUSTERED;False;False;;;;;;;0.03125;0.03125;0.03125
FichaFuncionario;Id_Afp;NONCLUSTERED;False;False;;;;;;;0.03125;0.03125;0.015625
FichaFuncionario;Id_Area;NONCLUSTERED;False;False;;;;;;;0.03125;0.03125;0.015625
FichaFuncionario;Id_Comuna;NONCLUSTERED;False;False;;;;;;;0.03125;0.03125;0.015625
FichaFuncionario;Id_Funcionario;NONCLUSTERED;False;True;;;;;;;0.078125;0.03125;0.015625
FichaFuncionario;Id_Isapre;NONCLUSTERED;False;False;;;;;;;0.03125;0.03125;0.015625
FichaFuncionario;Nombres;NONCLUSTERED;False;False;;;;;;;0.03125;0.03125;0.03125
FichaFuncionario;Rut;NONCLUSTERED;False;False;;;;;;;0.023437;0.023437;0.023437
FichaHonorarios;;HEAP;False;False;;;;;;;0.0;0.0;0.0
FichaHonorarios;aaFichaHonorarios_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
FichaHonorarios;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
FichaLeyesPrevisional;;HEAP;False;False;;;;;;;0.179687;0.078125;0.070312
FichaLeyesPrevisional;aaFichaLeyesPrev_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
FichaLeyesPrevisional;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
FichaMunicipal;;HEAP;False;False;;;;;;;0.195312;0.125;0.117187
FichaMunicipal;aaaaaFichaMunicipal_PK;NONCLUSTERED;True;True;;;;;;;0.078125;0.03125;0.015625
FichaMunicipal;Id_Dependencia;NONCLUSTERED;False;False;;;;;;;0.03125;0.03125;0.015625
FichaMunicipal;Id_Direccion;NONCLUSTERED;False;False;;;;;;;0.03125;0.03125;0.015625
FichaMunicipal;Id_Funcionario;NONCLUSTERED;False;True;;;;;;;0.078125;0.03125;0.015625
