Esquema;Tabla;Indice;Tipo;EsPK;EsUnique;Pages;Fragmentacion;PageFullness
dbo;DetalleObligaciones_Transac;DetOblig_Transaccione;NONCLUSTERED;True;True;4163;0.24021138601969735;99.72967630343464
dbo;DetalleSubvencion;PK_DetalleSubvencion;CLUSTERED;True;True;0;0.0;0.0
dbo;DetModPresupues_AreadeGestion;PK_DetModPresupues_AreadeGestion;NONCLUSTERED;True;True;349;2.005730659025788;98.31153941191005
dbo;DetModPresupues_CentroCosto;PK_DetModPresupues_CentroCosto;CLUSTERED;True;True;6;83.33333333333334;66.13129478626142
dbo;DevengadosEnDecreto;PK_DevengadosEnDecreto;CLUSTERED;True;True;4278;0.584385226741468;99.38636026686436
dbo;Diban_Centro_Costo;PK_Diban_Centro_Costo;CLUSTERED;True;True;0;0.0;0.0
dbo;DocumentoAdjuntoDecreto;PrimariaDocumentoAdjuntoDecreto;CLUSTERED;True;True;0;0.0;0.0
dbo;DocumentoEnDecreto_digitalizados;PK_DocumentoEnDecreto_digitalizados;CLUSTERED;True;True;0;0.0;0.0
dbo;Documentos_Requeridos_Decretos;PK_Documentos_Requeridos_Decretos;CLUSTERED;True;True;1;0.0;0.7289350135903138
dbo;Documentos_Requeridos_Decretos_Detalle;PK_Documentos_Requeridos_Decretos_Detalle;CLUSTERED;True;True;1;0.0;9.266123054114159
dbo;DocumentosEnComprobantes;PK_DocumentosEnComprobante;CLUSTERED;True;True;0;0.0;0.0
dbo;DocumentosEnDecreto;PK_DocumentosEnDecreto;CLUSTERED;True;True;5198;0.34628703347441325;99.163528539659
dbo;Enc_TransferBancoStgo;PK_Enc_TransferBancoStgo;CLUSTERED;True;True;0;0.0;0.0
dbo;Enca_Subvencion;PK_Enca_Subvencion;CLUSTERED;True;True;0;0.0;0.0
dbo;Encab_Compro_Transac;EncCompro_Transaccione;NONCLUSTERED;True;True;3869;0.18092530369604548;99.70959970348406
dbo;Encab_Obligaciones_Transac;Encab_Oblig_Transacciones;NONCLUSTERED;True;True;2526;0.1583531274742676;99.6743760810477
dbo;Encabezado_Ubicacion_Decreto;PK_Encabezado_Ubicacion_Decreto;CLUSTERED;True;True;1;0.0;6.622189276006918
dbo;EncabezadoApertura;PK_EncabezadoApertura;CLUSTERED;True;True;1;0.0;63.911539411910056
dbo;EncabezadoApertura;PK_EncabezadoApertura;CLUSTERED;True;True;4;0.0;45.34222881146528
dbo;EncabezadoComprobantes;EncabezadoComprobantes_Rut;NONCLUSTERED;False;False;3446;32.53047011027278;83.77680998270324
dbo;EncabezadoComprobantes;encabezadosComprobantes;NONCLUSTERED;False;False;2963;0.5062436719541006;99.69363726216952
dbo;EncabezadoComprobantes;IDX_Enc_Comp_Generado_Por_Cierre;NONCLUSTERED;False;False;1662;1.684717208182912;99.23460588089944
dbo;EncabezadoComprobantes;missing_index_3213;NONCLUSTERED;False;False;3291;1.276207839562443;99.35489251297257
dbo;EncabezadoComprobantes;PK_EncabezadoComprobantes;CLUSTERED;True;True;33724;0.3914126438144941;97.89898690387942
dbo;EncabezadoComprobantes;PK_EncabezadoComprobantes;CLUSTERED;True;True;22800;0.0;95.96111934766493
dbo;EncabezadoDecretos;EncabezadoDecretos_Rut;NONCLUSTERED;False;False;1643;49.66524650030432;75.05444773906598
dbo;EncabezadoDecretos;IDX_Enc_Decreto_Generado_Por_Cierre;NONCLUSTERED;False;False;892;72.08520179372198;76.64032616753151
dbo;EncabezadoDecretos;PK_EncabezadoDecretos;CLUSTERED;True;True;10713;0.4667226733874732;98.23673091178651
dbo;EncabezadoDecretos;PK_EncabezadoDecretos;CLUSTERED;True;True;11900;0.0;96.30559673832468
dbo;EncabezadoModificacionesPresup;PK_EncabezadoModificacionesPresup;CLUSTERED;True;True;20;95.0;69.0147022485792
dbo;EncabezadoObligaciones;Encabezado_Obligacion_Indice;NONCLUSTERED;False;False;1443;0.9009009009009009;99.4198912774895
dbo;EncabezadoObligaciones;EncabezadoObligaciones_Rut;NONCLUSTERED;False;False;2105;37.719714964370546;81.15319990116136
dbo;EncabezadoObligaciones;IDX_Enc_Ob_Generado_Por_Cierre;NONCLUSTERED;False;False;939;56.76251331203408;97.16402273288855
dbo;EncabezadoObligaciones;PK_EncabezadoObligaciones;CLUSTERED;True;True;12470;0.28869286287089013;98.61714850506547
dbo;EncabezadoObligaciones;PK_EncabezadoObligaciones;CLUSTERED;True;True;12200;0.0;96.15532493204843
dbo;EncabezadoObligaciones_Adquisiciones;PK_EncabezadoObligaciones_Adquisiciones;NONCLUSTERED;True;True;0;0.0;0.0
dbo;EstFi_BG_BalanceGeneral_Corp;PK_EstFi_BG_BalanceGeneral_Corp;CLUSTERED;True;True;3;66.66666666666666;68.12453669384729
dbo;EstFi_BG_Nivel1;PK_EstFi_BG_Nivel1;CLUSTERED;True;True;1;0.0;45.68816407215221
dbo;EstFi_BG_Nivel1_Corp;PK_EstFi_BG_Nivel1_Corp;CLUSTERED;True;True;1;0.0;24.067210279219175
dbo;EstFi_BG_Nivel2;PK_EstFi_BG_Nivel2;CLUSTERED;True;True;1;0.0;53.74351371386212
dbo;EstFi_BG_Nivel2_Corp;PK_EstFi_BG_Nivel2_Corp;CLUSTERED;True;True;1;0.0;39.14010378057821
dbo;EstFi_BG_Nivel3_Corp;PK_EstFi_BG_Nivel3_Corp;CLUSTERED;True;True;2;50.0;58.47541388682975
dbo;EstFi_CAM_PATNETO_INFORME;PK_EstFi_CAM_PATNETO_INFORME;CLUSTERED;True;True;3;66.66666666666666;55.90560909315543
dbo;EstFi_CAM_PATNETO_Nivel1;PK_EstFi_CAM_PATNETO_Nivel1;CLUSTERED;True;True;2;50.0;59.45144551519644
dbo;EstFi_CAM_PATNETO_Tipo;PK_EstFi_CAM_PATNETO_Tipo;CLUSTERED;True;True;1;0.0;48.33209785025945
