TABLA;INDICE;PAGES;FRAGMENTACION;PAGE_FULLNESS;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;USED-PAGES
FichaDetalle_AEduca;Id_Establecimiento;0;0;0;0.0;0.0;0.0;0.0;0.0
FichaDetalle_AEduca;Id_Funcionario;0;0;0;0.0;0.0;0.0;0.0;0.0
FichaDetalle_AEduca;Tipo_Horas;0;0;0;0.0;0.0;0.0;0.0;0.0
FichaEducacion;aaaaaFichaEducacion_PK;21;14.2857142857143;93.1795527551272;0.0;0.0;0.0;0.0;0.0
FichaEducacion;FichaEducacion_Indice;22;4.54545454545455;96.6479120336051;0.0;0.0;0.0;0.0;0.0
FichaEducacion;Id_Cargo;16;25;84.7294292068199;0.0;0.0;0.0;0.0;0.0
FichaEducacion;Id_Escalafon;16;6.25;95.3236965653571;0.0;0.0;0.0;0.0;0.0
FichaEducacion;Id_Establecimiento;19;15.7894736842105;94.0690387941685;0.0;0.0;0.0;0.0;0.0
FichaEducacion;Id_Funcionario;14;7.14285714285714;96.8371633308624;0.0;0.0;0.0;0.0;0.0
FichaFuncionario;<Indice_liq>;24;4.16666666666667;98.8262910798122;0.0;0.0;0.0;0.0;0.0
FichaFuncionario;aaaaaFichaFuncionario_PK;20;5;97.7477143563133;0.0;0.0;0.0;0.0;0.0
FichaFuncionario;Id_Establecimiento;18;5.55555555555556;99.1969360019768;0.0;0.0;0.0;0.0;0.0
FichaFuncionario;Id_Funcionario;14;7.14285714285714;96.8089325426242;0.0;3842.0;0.0;0.0;0.0
FichaLeyesPrevisional;aaFichaLeyesPrev_PK;14;14.2857142857143;86.6391401037806;0.0;0.0;0.0;0.0;0.0
FichaLeyesPrevisional;Id_Establecimiento;13;15.3846153846154;85.2122189276007;0.0;0.0;0.0;0.0;0.0
FichaLeyesPrevisional;Id_Funcionario;9;11.1111111111111;93.4986162589573;0.0;0.0;0.0;0.0;0.0
FichaPersonal;aaaaaFichaPersonal_PK;20;5;97.918211020509;0.0;0.0;1.0;0.0;0.0
FichaPersonal;Id_Establecimiento;18;5.55555555555556;99.3699036323202;0.0;0.0;0.0;0.0;0.0
FichaPersonal;Id_Funcionario;14;7.14285714285714;96.9783666913763;0.0;0.0;0.0;0.0;0.0
Firmas_Liquidacion;aaaFirmas_Liquidacion_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
FormatoCargaFamiliar;FechaInicio;0;0;0;0.0;0.0;0.0;0.0;0.0
FormatoCargaFamiliar;FechaTermino;0;0;0;0.0;0.0;0.0;0.0;0.0
FormatoCargaFamiliar;NombreArchivo;0;0;0;0.0;0.0;0.0;0.0;0.0
FormatoCargaLicencia;FechaInicio;1;0;0.642451198418582;0.0;0.0;0.0;0.0;0.0
FormatoCargaLicencia;FechaTermino;1;0;0.642451198418582;0.0;0.0;0.0;0.0;0.0
