TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;LARGO_ATRIBUTOS;PESO_GRUPO
HistoricoCambioEstablecimiento;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.273437;0.15625;0.195312;Id_Funcionario;0.0;NO USO;1;0.195312
BaseCalculo_PostNatalParental;aaaBaseCalculo_PostNatalParental_PK;CLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.257812;0.1875;0.171875;Id_CorrelativoPermiso,Rut;0.0;NO USO;2;0.1875
BaseCalculo_PostNatalParental;Id_CorrelativoPermiso;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.078125;0.03125;0.015625;Id_CorrelativoPermiso;0.0;NO USO;1;0.1875
FichaEducacion;FichaEducacion_Indice;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.320312;0.1875;0.171875;Id_Establecimiento,Id_Funcionario,Tipo_Funcionario;0.0;NO USO;3;0.1875
FichaEducacion;FichaEducacion_Indice;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.320312;0.1875;0.171875;Id_Establecimiento,Id_Funcionario,Tipo_Funcionario;0.0;NO USO;3;0.1875
FichaEducacion;aaaaaFichaEducacion_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.320312;0.179687;0.164062;Id_Establecimiento,Id_Funcionario;0.0;NO USO;2;0.1875
FichaEducacion;aaaaaFichaEducacion_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.320312;0.179687;0.164062;Id_Establecimiento,Id_Funcionario;0.0;NO USO;2;0.1875
FichaEducacion;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.320312;0.164062;0.148437;Id_Establecimiento;0.0;NO USO;1;0.1875
FichaEducacion;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.320312;0.164062;0.148437;Id_Establecimiento;0.0;NO USO;1;0.1875
FichaFuncionario;aaaaaFichaFuncionario_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.320312;0.171875;0.156250;Id_Establecimiento,Id_Funcionario;0.0;NO USO;2;0.171875
FichaFuncionario;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.320312;0.15625;0.140625;Id_Establecimiento;0.0;NO USO;1;0.171875
FichaPersonal;aaaaaFichaPersonal_PK;NONCLUSTERED;1;1;0.0;1.0;0.0;0.0;;2026-06-04 09:07:45.233;0.320312;0.171875;0.156250;Id_Establecimiento,Id_Funcionario;0.0;NO USO;2;0.171875
FichaPersonal;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.320312;0.15625;0.140625;Id_Establecimiento;0.0;NO USO;1;0.171875
HistoricoCargasRetroactivas;aaHistoricoCargasRetroactivas_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;10.0;;;0.265625;0.171875;0.218750;Id_Establecimiento,Id_Funcionario,Mes,Ano,TipoCarga_Retro,Id_Carga_Retro;0.0;SIN BUSQUEDAS;6;0.171875
HistoricoCargasRetroactivas;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;10.0;;;0.226562;0.109375;0.125000;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;0.171875
Feriados;aaaaaFeriados_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.265625;0.164062;0.140625;Id_Funcionario,Id_Establecimiento,Id_Periodo,Id_Correlativo;0.0;NO USO;4;0.164062
