TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE
BaseCalculo_PostNatalParental;aaaBaseCalculo_PostNatalParental_PK;CLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.257812;0.187500;0.171875;Id_CorrelativoPermiso,Rut;0.0;NO USO
BaseCalculo_PostNatalParental;Id_CorrelativoPermiso;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.078125;0.031250;0.015625;Id_CorrelativoPermiso;0.0;NO USO
BaseCalculo_PostNatalParental;Rut;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.078125;0.031250;0.015625;Rut;0.0;NO USO
Bienestar_MacroCalculo;aaaBienestar_MacroCalculo_PK;CLUSTERED;1;1;12.0;0.0;0.0;0.0;2026-06-04 09:07:12.937;;0.070312;0.015625;0.007812;Macro_id;12.0;Beneficio Busqueda
Bienestar_TipoMoneda;aaaBienestar_TipoMoneda_PK;CLUSTERED;1;1;6.0;0.0;0.0;0.0;2026-06-04 09:07:12.910;;0.070312;0.015625;0.007812;Id_ModoDctos;6.0;Beneficio Busqueda
Bienios_Cumplidos;aaaaaBienios_Cumplidos_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Funcionario,Mes_Proceso,Ano_Proceso;0.0;NO USO
Bienios_Cumplidos;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Funcionario;0.0;NO USO
Calificacion;aaaaaCalificacion_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Periodo;0.0;NO USO
Calificacion;Id_Establecimeinto;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento;0.0;NO USO
Calificacion;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Funcionario;0.0;NO USO
